topic_cluster,total_keywords,avg_search_volume,avg_keyword_difficulty,avg_priority_score
youtube_general,6984,16421.0,9.3,0.3655
video_marketing_general,4516,6376.0,23.5,0.326
youtube_thumbnails,1045,788.0,17.0,0.4025
youtube_growth_strategy,931,1467.0,15.0,0.446
youtube_tools_software,724,4607.0,24.0,0.4059
video_production,582,2647.0,18.8,0.3538
youtube_transcription_captions,486,2433.0,26.4,0.3605
youtube_seo,415,2381.0,4.9,0.4806
youtube_automation,238,1766.0,19.6,0.4179
youtube_monetization,192,784.0,9.1,0.4716
youtube_shorts_strategy,132,5797.0,19.0,0.3979
youtube_algorithm,129,1484.0,4.2,0.4768
youtube_analytics,126,5275.0,4.2,0.478
youtube_content_strategy,47,289.0,9.5,0.4515
youtube_ads,29,1322.0,33.1,0.3989
