keyword,avg_monthly_searches,tier,notes
youtube video ideas,50000,1,primary seo target
video suggestions for youtube,50000,1,primary seo target
youtube content ideas,5000,1,primary seo target
youtube ideas,5000,1,primary seo target
youtube shorts ideas,5000,1,primary seo target
trending youtube topics,5000,1,primary seo target
good youtube video ideas,5000,1,primary seo target
best video ideas for youtube,5000,1,primary seo target
youtube video ideas generator,500,1,primary seo target
youtube idea generator,500,1,primary seo target
youtube topic ideas,500,1,primary seo target
ai powered youtube idea generator,50,1,primary seo target
youtube video idea generator ai,50,1,primary seo target
ai youtube idea generator,50,1,primary seo target
ai youtube ideas,50,1,primary seo target
youtube video topic generator,50,1,primary seo target
youtube topic generator,50,1,primary seo target
content idea generator for youtube,50,1,primary seo target
youtube content idea generator,50,1,primary seo target
youtube channel idea generator,50,1,primary seo target
random youtube video idea generator,50,1,primary seo target
video ideas for youtube generator,50,1,primary seo target
youtube video ideas for business,50,2,b2b / business angle
youtube video ideas for real estate agents,50,2,b2b / business angle
real estate youtube video ideas,50,2,b2b / business angle
small business youtube video ideas,50,2,b2b / business angle
business youtube video ideas,50,2,b2b / business angle
tech video ideas for youtube,50,2,b2b / business angle
tech youtube video ideas,50,2,b2b / business angle
educational video ideas for youtube,50,2,b2b / business angle
educational youtube video ideas,50,2,b2b / business angle
educational content ideas for youtube,50,2,b2b / business angle
